Pixel,UpperAuto,UpperManual,UpperMean,BottomAuto,BottomManual,BottomMean,ErrorUpperAuto,ErrorUpperManual,ErrorBottomAuto,ErrorBottomManual,StdErrorUpperAuto,StdErrorUpperManual,StdErrorBottomAuto,StdErrorBottomManual,PercentErrorUpperAuto,PercentErrorUpperManual,PercentErrorBottomAuto,PercentErrorBottomManual
309,-178.30000,-178.30000,-176.82239,-183.80000,-183.80000,-183.54832,-1.47761,-1.47761,-0.25168,-0.25168,2.18334,2.18334,0.06335,0.06335,0.0029791,0.0029791,0.0005074,0.0005074
310,-178.30000,-178.30000,-176.83006,-183.90000,-183.80000,-183.48572,-1.46994,-1.46994,-0.41428,-0.31428,2.16073,2.16073,0.17163,0.09877,0.0029636,0.0029636,0.0008352,0.0006336
311,-178.30000,-178.30000,-176.84219,-183.90000,-183.80000,-183.42312,-1.45781,-1.45781,-0.47688,-0.37688,2.12522,2.12522,0.22741,0.14204,0.0029391,0.0029391,0.0009614,0.0007598
312,-178.40000,-178.40000,-176.85431,-183.90000,-183.90000,-183.34928,-1.54569,-1.54569,-0.55072,-0.55072,2.38915,2.38915,0.30330,0.30330,0.0031163,0.0031163,0.0011103,0.0011103
313,-178.50000,-178.50000,-176.87995,-183.90000,-183.90000,-183.24135,-1.62005,-1.62005,-0.65865,-0.65865,2.62456,2.62456,0.43382,0.43382,0.0032662,0.0032662,0.0013279,0.0013279
314,-178.50000,-178.50000,-176.94670,-183.90000,-183.90000,-183.13342,-1.55330,-1.55330,-0.76658,-0.76658,2.41275,2.41275,0.58764,0.58764,0.0031317,0.0031317,0.0015455,0.0015455
315,-178.50000,-178.50000,-177.01344,-183.90000,-183.90000,-183.02549,-1.48656,-1.48656,-0.87451,-0.87451,2.20985,2.20985,0.76476,0.76476,0.0029971,0.0029971,0.0017631,0.0017631
316,-178.50000,-178.50000,-177.08019,-183.90000,-183.90000,-182.94436,-1.41981,-1.41981,-0.95564,-0.95564,2.01586,2.01586,0.91325,0.91325,0.0028625,0.0028625,0.0019267,0.0019267
317,-178.50000,-178.50000,-177.14694,-183.90000,-184.00000,-182.93271,-1.35306,-1.35306,-0.96729,-1.06729,1.83078,1.83078,0.93565,1.13911,0.0027280,0.0027280,0.0019502,0.0021518
318,-178.50000,-178.50000,-177.21368,-183.90000,-184.00000,-182.93118,-1.28632,-1.28632,-0.96882,-1.06882,1.65461,1.65461,0.93861,1.14237,0.0025934,0.0025934,0.0019533,0.0021549
319,-178.50000,-178.50000,-177.29264,-183.90000,-184.00000,-182.92193,-1.20736,-1.20736,-0.97807,-1.07807,1.45771,1.45771,0.95661,1.16223,0.0024342,0.0024342,0.0019719,0.0021735
320,-178.50000,-178.50000,-177.37971,-183.80000,-184.00000,-182.91269,-1.12029,-1.12029,-0.88731,-1.08731,1.25506,1.25506,0.78733,1.18225,0.0022587,0.0022587,0.0017889,0.0021922
321,-178.60000,-178.60000,-177.46982,-183.80000,-184.00000,-182.90344,-1.13018,-1.13018,-0.89656,-1.09656,1.27731,1.27731,0.80383,1.20245,0.0022786,0.0022786,0.0018076,0.0022108
322,-178.70000,-178.70000,-177.55993,-183.80000,-184.00000,-182.89419,-1.14007,-1.14007,-0.90581,-1.10581,1.29975,1.29975,0.82050,1.22282,0.0022985,0.0022985,0.0018262,0.0022295
